
 num     #instances         #bytes  class name
 139:             2            112  sun.security.util.MemoryCache$SoftCacheEntry
 140:             7            112  $Proxy2
 141:             7            112  java.lang.ThreadLocal
 142:             1            112  java.lang.ref.Finalizer$FinalizerThread
 143:             1            112  java.lang.ref.Reference$ReferenceHandler
 144:             2            112  sun.security.x509.X509CertInfo
 145:             1             96  sun.security.jca.ProviderList$1
 146:             2             96  java.lang.ThreadGroup
 147:             3             96  java.lang.ClassLoader$NativeLibrary
 148:             4             96  java.util.Date
 149:             3             96  java.io.FileInputStream
 150:             4             96  java.lang.ThreadLocal$ThreadLocalMap
 151:             3             96  java.io.OutputStreamWriter
 152:             2             96  java.util.WeakHashMap
 153:             2             96  java.util.Properties
 154:             3             96  java.util.Stack
 155:             4             96  java.text.Normalizer$Form
 156:             1             88  [[Ljava.lang.Byte;
 157:             1             88  java.util.jar.JarVerifier
 158:             1             88  [Lsun.security.util.ObjectIdentifier;
 159:             2             80  sun.security.x509.AuthorityKeyIdentifierExtension
 160:             5             80  [Ljava.security.Principal;
 161:             2             80  sun.security.provider.DSAPublicKeyImpl
 162:             1             80  sun.misc.Launcher$ExtClassLoader
 163:             5             80  java.security.ProtectionDomain$Key
 164:             1             80  org.eclipse.jdt.internal.junit.runner.RemoteTestRunner
 165:             2             80  java.io.ExpiringCache
 166:             1             80  [[B
 167:             5             80  org.eclipse.jdt.internal.junit4.runner.JUnit4Identifier
 168:             5             80  java.util.regex.Pattern$BranchConn
 169:             5             80  java.util.HashMap$Values
 170:             2             72  [Lsun.security.jca.ProviderConfig;
 171:             3             72  java.util.regex.Pattern$Ctype
 172:             3             72  java.util.regex.Pattern$Single
 173:             3             72  sun.misc.Signal
 174:             1             72  sun.misc.Launcher$AppClassLoader
 175:             3             72  java.lang.annotation.RetentionPolicy
 176:             3             72  java.util.regex.Pattern$BitClass
 177:             1             64  [F
 178:             4             64  $Proxy7
 179:             2             64  java.util.Collections$SynchronizedMap
 180:             2             64  sun.misc.URLClassPath
 181:             1             64  sun.security.provider.NativePRNG$RandomIO
 182:             2             64  [Ljava.lang.Thread;
 183:             2             64  java.lang.ref.ReferenceQueue$Null
 184:             2             64  java.io.FileOutputStream
 185:             2             64  sun.security.x509.NetscapeCertTypeExtension
 186:             1             64  java.nio.DirectByteBuffer
 187:             2             64  [Ljava.lang.annotation.RetentionPolicy;
 188:             2             64  java.security.AlgorithmParameters
 189:             4             64  sun.security.x509.KeyIdentifier
 190:             2             64  sun.security.x509.SubjectKeyIdentifierExtension
 191:             2             64  java.io.PrintStream
 192:             1             64  java.util.regex.Pattern
 193:             2             64  sun.security.util.MemoryCache
 194:             1             56  [Ljava.lang.Runnable;
 195:             1             56  com.dianping.fkv.FkvImpl
 196:             3             48  sun.text.normalizer.NormalizerBase$QuickCheckResult
 197:             2             48  sun.security.x509.CertificateValidity
 198:             2             48  sun.reflect.NativeMethodAccessorImpl
 199:             1             48  java.nio.HeapCharBuffer
 200:             2             48  sun.security.util.BitArray
 201:             1             48  java.net.SocketInputStream
 202:             2             48  java.util.regex.Pattern$6
 203:             2             48  sun.security.jca.ProviderList
 204:             3             48  java.nio.charset.CodingErrorAction
 205:             2             48  java.net.InetAddress$Cache
 206:             2             48  sun.security.x509.CertificateExtensions
 207:             2             48  [Ljava.io.File;
 208:             3             48  java.nio.channels.FileChannel$MapMode
 209:             2             48  java.net.InetAddress$Cache$Type
 210:             2             48  sun.security.x509.CertificateIssuerName
 211:             2             48  sun.security.jca.ProviderList$3
 212:             1             48  java.io.BufferedReader
 213:             2             48  sun.security.util.Cache$EqualByteArray
 214:             1             48  java.net.SocketOutputStream
 215:             2             48  java.util.regex.Pattern$2
 216:             2             48  java.io.BufferedOutputStream
 217:             1             48  sun.nio.ch.FileChannelImpl
 218:             2             48  sun.misc.NativeSignalHandler
 219:             2             48  sun.security.x509.CertificateSubjectName
 220:             2             48  sun.security.provider.DSAParameters
 221:             2             48  java.nio.charset.CoderResult
 222:             1             48  [Lsun.security.x509.NetscapeCertTypeExtension$MapEntry;
 223:             1             48  sun.nio.cs.StreamDecoder
 224:             1             48  java.io.PrintWriter
 225:             2             40  [Ljava.security.CodeSigner;
 226:             1             40  sun.nio.cs.UTF_8$Decoder
 227:             1             40  java.io.BufferedInputStream
 228:             1             40  [Lsun.security.jca.ServiceId;
 229:             1             40  sun.nio.cs.StandardCharsets$Aliases
 230:             1             40  sun.misc.Cleaner
 231:             1             40  sun.nio.cs.StandardCharsets$Cache
 232:             1             40  java.util.IdentityHashMap
 233:             1             40  sun.nio.cs.StandardCharsets$Classes
 234:             1             40  org.junit.runner.Result
 235:             1             32  org.junit.internal.runners.ClassRoadie
 236:             1             32  java.lang.ref.Reference
 237:             2             32  sun.security.x509.CertificateAlgorithmId
 238:             2             32  java.lang.Shutdown$Lock
 239:             2             32  $Proxy1
 240:             2             32  java.util.HashSet
 241:             2             32  java.lang.Boolean
 242:             1             32  java.net.Socket
 243:             1             32  java.lang.VirtualMachineError
 244:             1             32  java.io.UnixFileSystem
 245:             1             32  java.io.RandomAccessFile
 246:             1             32  sun.security.x509.BasicConstraintsExtension
 247:             2             32  sun.security.x509.CertificateSerialNumber
 248:             1             32  java.util.concurrent.atomic.AtomicReferenceFieldUpdater$AtomicReferenceFieldUpdaterImpl
 249:             1             32  sun.nio.cs.StandardCharsets
 250:             2             32  java.nio.ByteOrder
 251:             1             32  org.eclipse.jdt.internal.junit.runner.TestExecution
 252:             1             32  sun.security.x509.SubjectAlternativeNameExtension
 253:             1             32  org.junit.internal.runners.MethodRoadie
 254:             1             32  sun.misc.SoftCache
 255:             1             32  java.util.Collections$UnmodifiableMap
 256:             1             32  [Ljava.text.Normalizer$Form;
 257:             1             32  java.util.AbstractList$Itr
 258:             1             32  [Ljava.lang.ThreadGroup;
 259:             1             32  com.dianping.fkv.store.FkvFileStore
 260:             1             32  sun.security.x509.KeyUsageExtension
 261:             2             32  sun.security.x509.CertificateVersion
 262:             1             32  java.net.Inet4Address
 263:             1             32  [Ljava.lang.OutOfMemoryError;
 264:             2             32  sun.security.x509.CertificateX509Key
 265:             2             32  sun.reflect.DelegatingMethodAccessorImpl
 266:             2             32  sun.security.x509.SerialNumber
 267:             1             32  <compiledICHolderKlass>
 268:             1             32  java.lang.NullPointerException
 269:             1             32  java.lang.reflect.InvocationTargetException
